time,quat_x,quat_y,quat_z,quat_w,imu_yaw
1763590342.7437,-0.008676427555505956,0.0343271565531032,-0.6279715560435353,0.7774304410866052,-1.360105502827508
1763590342.7606711,-0.008702447428259319,0.034198697758219966,-0.6300024160192095,0.77579099781472,-1.365317761441174
1763590342.7904522,-0.008762211952012088,0.034154540969934415,-0.6320118131892852,0.7741561592870222,-1.3704966584887588
1763590342.8103554,-0.008875996347887797,0.034189935299524646,-0.6340136187066245,0.7725147223888861,-1.3756774589857717
1763590342.8433824,-0.009031257602145652,0.034179473885341066,-0.6360067973837077,0.7708732409629774,-1.3808414158354654
1763590342.863429,-0.009292126186978292,0.034171827938176906,-0.6380096097686104,0.7692136766914602,-1.3860426909625079
1763590342.890741,-0.009624777957568206,0.0341260917084151,-0.6400169190155705,0.7675422573955086,-1.3912625173060948
1763590342.9115999,-0.010051408981281203,0.034148510012426976,-0.6420438663412971,0.7658410553991875,-1.3965542883163684
1763590342.9405181,-0.010450804043210023,0.034203584719780064,-0.6440712031411635,0.7641290341110336,-1.4018624811744826
1763590342.9606044,-0.010739350003841876,0.03420352775768935,-0.64614239330931,0.7623744438390764,-1.4072892305507412
1763590342.9903393,-0.011014396349590764,0.03421356570162234,-0.6482015731383904,0.7606200336409441,-1.412697901620159
1763590343.010946,-0.01122426147357591,0.03418645218359863,-0.6502573371707656,0.7588614484193124,-1.418104547897745
1763590343.0410964,-0.011285880093737323,0.033998806520707595,-0.6523348446160884,0.7570838530607961,-1.4235591212197893
1763590343.0607615,-0.01136737982764069,0.03386211628202032,-0.6543986077897513,0.7553056347463537,-1.4289969582155
1763590343.0908864,-0.011355471355684136,0.03372506951214799,-0.6564570998530581,0.7535235557095764,-1.4344330064195818
1763590343.1169333,-0.011295585568100014,0.033641063509293356,-0.6584949812524418,0.751747995180555,-1.439833752318715
1763590343.140705,-0.011207518942217406,0.03362941100489349,-0.6605573229752494,0.7499383156622923,-1.4453216942450096
1763590343.160937,-0.01099542446426876,0.033611375167804936,-0.6625949697933614,0.7481425546677011,-1.450755450293169
1763590343.190777,-0.010714648823205376,0.03371428081618974,-0.6646219303955181,0.7463419010125171,-1.4561890598071239
1763590343.2104273,-0.010402544654795122,0.03394088770356601,-0.666625159971809,0.7445473116593456,-1.4615882428602662
1763590343.2402518,-0.010134290815489722,0.034307316306877,-0.6686235162153218,0.7427401280133896,-1.4670063545399303
1763590343.2611434,-0.00991184745315581,0.03465918124856863,-0.6706112019689312,0.7409325962791957,-1.472407755775713
1763590343.290244,-0.009863689145225396,0.034951742491232216,-0.6726552673260162,0.7390642561183964,-1.4779681885619744
1763590343.310949,-0.01003534341676924,0.035093464648197716,-0.6747341574911526,0.7371577560713837,-1.4836178725776423
1763590343.3408005,-0.010381027903868733,0.035099383001255674,-0.6768339289484891,0.7352252037279066,-1.489321057302641
1763590343.360937,-0.010689004814316274,0.034830378088216006,-0.6789669833338862,0.7332642262382599,-1.495092098890804
1763590343.3905954,-0.011079548230357575,0.03449445272856551,-0.6811295021266602,0.7312660102005671,-1.5009504490935144
1763590343.4113615,-0.011279709059161336,0.03402152647820161,-0.6832602488434331,0.7292946840955606,-1.5067190707834093
1763590343.4411733,-0.011493298578956118,0.03359179229374884,-0.6853576041283781,0.7273406698663825,-1.5124180891625727
