bag_t,ros_t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,raw
1761939167.6374302,1761939167.637206,1.7610372152622784e-05,-3.131120678077827e-05,1.5969762655748117e-05,-0.029,-0.216,9.867,2.4590000000000003e-05,4.62e-06,3.369e-05,"$VNYMR,-077.710,-001.310,+000.153,+00.0462,+00.2459,-00.3369,-00.216,-00.029,-09.867,-00.001794,+00.001009,-00.000915*69"
1761939167.6652493,1761939167.6649122,2.183406894244906e-05,2.3841197582242543e-05,-1.1274826967883368e-05,-0.022,-0.235,9.893,2.5080000000000004e-05,4.6300000000000006e-06,3.336e-05,"$VNYMR,-077.710,-001.310,+000.154,+00.0463,+00.2508,-00.3336,-00.235,-00.022,-09.893,+00.001366,+00.001251,+00.000646*6E"
1761939167.687621,1761939167.687258,-3.686135380212024e-05,-1.738347934986352e-05,1.0122909661567112e-05,-0.033,-0.223,9.931,2.44e-05,4.52e-06,3.358e-05,"$VNYMR,-077.710,-001.310,+000.152,+00.0452,+00.2440,-00.3358,-00.223,-00.033,-09.931,-00.000996,-00.002112,-00.000580*6D"
1761939167.71246,1761939167.7121987,-3.235840433197487e-05,9.075712110370513e-07,-2.352703831688356e-05,-0.017,-0.221,9.912,2.449e-05,4.52e-06,3.38e-05,"$VNYMR,-077.709,-001.310,+000.153,+00.0452,+00.2449,-00.3380,-00.221,-00.017,-09.912,+00.000052,-00.001854,+00.001348*67"
1761939167.737364,1761939167.7371883,-1.5184364492350667e-05,-7.67944870877505e-06,-3.5081117965086026e-06,0.002,-0.26,9.904,2.479e-05,4.53e-06,3.336e-05,"$VNYMR,-077.709,-001.310,+000.153,+00.0453,+00.2479,-00.3336,-00.260,+00.002,-09.904,-00.000440,-00.000870,+00.000201*63"
1761939167.7623725,1761939167.7622137,2.3282692221604356e-05,-1.2740903539558605e-05,-1.2601277199399058e-05,-0.02,-0.238,9.837,2.488e-05,4.8200000000000004e-06,3.357e-05,"$VNYMR,-077.708,-001.310,+000.153,+00.0482,+00.2488,-00.3357,-00.238,-00.020,-09.837,-00.000730,+00.001334,+00.000722*61"
1761939167.7874227,1761939167.7872865,-1.0297442586766545e-06,-2.303834612632515e-06,1.4014993893514466e-05,-0.027,-0.234,9.946,2.4690000000000002e-05,4.8200000000000004e-06,3.3350000000000004e-05,"$VNYMR,-077.707,-001.310,+000.151,+00.0482,+00.2469,-00.3335,-00.234,-00.027,-09.946,-00.000132,-00.000059,-00.000803*6A"
1761939167.8124275,1761939167.8122792,-3.822271061867582e-06,-2.2863813201125715e-05,1.0088003076527223e-05,-0.033,-0.26,9.827,2.449e-05,4.62e-06,3.402e-05,"$VNYMR,-077.708,-001.310,+000.151,+00.0462,+00.2449,-00.3402,-00.260,-00.033,-09.827,-00.001310,-00.000219,-00.000578*6C"
1761939167.8375006,1761939167.8373053,-2.0769418098732523e-06,-7.819075048934597e-06,9.250245035569946e-06,-0.045,-0.25,9.889,2.488e-05,4.72e-06,3.358e-05,"$VNYMR,-077.710,-001.309,+000.150,+00.0472,+00.2488,-00.3358,-00.250,-00.045,-09.889,-00.000448,-00.000119,-00.000530*6A"
1761939167.8624973,1761939167.862291,3.804817769347639e-05,-6.003932626860494e-06,-1.679006740418545e-05,-0.017,-0.231,9.854,2.479e-05,4.62e-06,3.347e-05,"$VNYMR,-077.707,-001.310,+000.150,+00.0462,+00.2479,-00.3347,-00.231,-00.017,-09.854,-00.000344,+00.002180,+00.000962*67"
1761939167.887735,1761939167.887517,2.9670597283903606e-06,-1.0576695267085637e-05,8.325220532012952e-06,-0.029,-0.222,9.876,2.4690000000000002e-05,4.53e-06,3.303e-05,"$VNYMR,-077.707,-001.309,+000.150,+00.0453,+00.2469,-00.3303,-00.222,-00.029,-09.876,-00.000606,+00.000170,-00.000477*62"
1761939167.9125364,1761939167.9123416,-8.552113334772215e-06,-3.363249468593073e-05,-6.719517620178168e-06,-0.012,-0.236,9.889,2.449e-05,4.52e-06,3.336e-05,"$VNYMR,-077.706,-001.308,+000.150,+00.0452,+00.2449,-00.3336,-00.236,-00.012,-09.889,-00.001927,-00.000490,+00.000385*66"
1761939167.9376824,1761939167.937418,-5.4279739737023655e-06,1.9250981649497455e-05,1.4922565104551517e-05,-0.041,-0.224,9.924,2.4690000000000002e-05,4.72e-06,3.358e-05,"$VNYMR,-077.707,-001.308,+000.149,+00.0472,+00.2469,-00.3358,-00.224,-00.041,-09.924,+00.001103,-00.000311,-00.000855*62"
1761939167.9626012,1761939167.9623787,5.9079395180008056e-05,-1.5812683023068626e-05,2.361430477948328e-05,-0.029,-0.232,9.867,2.4590000000000003e-05,4.72e-06,3.357e-05,"$VNYMR,-077.709,-001.307,+000.149,+00.0472,+00.2459,-00.3357,-00.232,-00.029,-09.867,-00.000906,+00.003385,-00.001353*6E"
1761939167.9890049,1761939167.9882174,-7.068583470577034e-06,2.5970499269675624e-05,6.475171524898963e-06,-0.036,-0.228,9.869,2.488e-05,4.7300000000000005e-06,3.291e-05,"$VNYMR,-077.707,-001.309,+000.150,+00.0473,+00.2488,-00.3291,-00.228,-00.036,-09.869,+00.001488,-00.000405,-00.000371*6C"
1761939168.0135496,1761939168.012579,-9.896016858807849e-06,1.7854718247901993e-05,1.2566370614359173e-05,-0.056,-0.237,9.863,2.449e-05,4.62e-06,3.358e-05,"$VNYMR,-077.705,-001.309,+000.149,+00.0462,+00.2449,-00.3358,-00.237,-00.056,-09.863,+00.001023,-00.000567,-00.000720*6D"
1761939168.0381174,1761939168.0375133,-1.0873401239924672e-05,-9.965830028887622e-06,2.3212879051524585e-06,-0.013,-0.217,9.856,2.44e-05,4.72e-06,3.236e-05,"$VNYMR,-077.704,-001.310,+000.151,+00.0472,+00.2440,-00.3236,-00.217,-00.013,-09.856,-00.000571,-00.000623,-00.000133*6B"
1761939168.0632977,1761939168.0626993,6.928957130417488e-06,-3.2114058236695663e-06,-1.1466813185602746e-05,-0.001,-0.201,9.928,2.4590000000000003e-05,4.62e-06,3.336e-05,"$VNYMR,-077.704,-001.309,+000.148,+00.0462,+00.2459,-00.3336,-00.201,-00.001,-09.928,-00.000184,+00.000397,+00.000657*6E"
1761939168.088429,1761939168.087745,-8.290313946973065e-06,-1.7418385934903408e-05,1.4730578886832141e-05,-0.031,-0.215,9.844,2.5180000000000003e-05,4.53e-06,3.392e-05,"$VNYMR,-077.705,-001.308,+000.148,+00.0453,+00.2518,-00.3392,-00.215,-00.031,-09.844,-00.000998,-00.000475,-00.000844*69"
1761939168.1135874,1761939168.1126707,-5.759586531581288e-07,2.218313479284793e-05,1.117010721276371e-05,-0.059,-0.204,9.901,2.4690000000000002e-05,4.62e-06,3.347e-05,"$VNYMR,-077.704,-001.307,+000.148,+00.0462,+00.2469,-00.3347,-00.204,-00.059,-09.901,+00.001271,-00.000033,-00.000640*63"
